"treeID","h_max","h_mean","h_p95","n_pts"
492,23.913,7.96681351981352,17.2448,429
493,23.123,8.77395957446809,15.9483,470
494,21.667,8.67037126865672,15.52375,536
495,19.047,10.5079016393443,18.23525,122
496,19.989,8.6093386167147,15.9779,694
497,22.227,17.4209655172414,22.0582,29
498,22.082,18.5913,21.6815,10
499,22.019,18.4417272727273,21.35,11
500,22.494,17.8347333333333,21.6743,15
501,23.309,9.72942857142857,21.46975,98
502,23.792,8.142688057041,15.282,561
503,23.905,9.49814126394052,19.8488,269
504,24.039,7.78706725146199,19.3944,342
505,22.494,9.33213173652695,17.4733,167
506,22.605,8.4280325203252,15.4356,369
507,19.466,7.49676296296296,17.35655,270
508,15.389,14.73925,15.3611,4
509,20.999,17.3419090909091,20.8005,11
510,22.814,12.91525,21.4994,44
511,24.311,9.80216981132076,21.636,371
512,24.068,7.41042599277978,16.9093,554
513,22.987,8.72366666666667,19.539,189
514,22.648,9.28837704918033,21.2358,183
515,18.72,15.1680952380952,18.22475,42
516,19.539,18.2948,19.5116,5
517,23.727,8.48695362318841,19.3124,345
518,23.871,8.71366182572614,16.40435,482
519,21.395,7.73121659482759,14.338,928
520,19.093,8.3754449704142,15.2858,845
521,18.714,6.89343654822335,12.96305,394
522,17.599,15.2722121212121,17.36,33
523,20.966,16.8118,20.4323,10
524,22.226,17.7198214285714,21.6579,28
525,23.826,9.25098445595855,16.5395,386
526,23.783,11.150316091954,22.2521,174
527,21.961,9.4613908045977,16.6476,174
529,19.385,17.164625,19.25,16
530,22.21,8.98652112676056,20.589,71
531,23.467,7.99339140271493,15.13865,442
532,23.537,8.77628244274809,20.6805,131
533,22.203,8.10512915129151,16.26405,542
534,18.257,7.546,13.8621,318
535,22.108,10.3176666666667,19.42275,96
536,17.711,8.23981481481482,17.53925,54
537,18.547,11.622225,18.05505,40
538,23.285,8.44472602739726,21.0596,219
539,23.438,9.65834200743494,17.8348,269
540,23.856,10.6186844660194,21.04675,206
541,23.559,8.05379194630872,21.1709,298
542,23.065,8.93048148148148,20.3161,135
544,22.59,8.31924884792627,19.8448,217
545,18.204,7.68265263157895,13.6441,475
546,18.6,8.3041052631579,17.758,76
547,22.496,18.11365,22.19675,40
548,21.864,8.62224324324324,20.9832,37
549,21.6,8.34791975308642,18.7983,162
550,17.82,7.202,13.7131,363
551,18.297,7.50826962457338,16.116,293
552,17.792,8.25788235294118,17.6848,17
553,21.074,18.2100526315789,20.4737,19
554,22.481,7.61722491349481,17.076,289
555,23.657,10.7374049586777,19.861,121
556,22.502,10.5770410958904,20.6988,73
557,17.419,7.545,17.1558,40
558,21.488,18.5230434782609,21.1528,23
559,23.633,12.6338925619835,22.23,121
560,23.411,11.2983453608247,21.61595,194
561,22.669,9.64367142857143,20.6191,70
562,22.725,10.6354042553191,21.8035,47
563,18.468,7.70754132231405,13.2437,242
564,16.249,15.3411111111111,16.2326,9
565,22.861,9.05440740740741,20.74795,108
566,22.807,8.93617105263158,19.81475,76
567,22.082,10.5504761904762,19.9039,63
568,19.752,7.74801052631579,13.42505,190
569,16.829,5.73149056603774,16.1098,53
571,22.876,10.2734564102564,19.6624,195
572,22.627,11.7103939393939,21.2795,66
573,22.134,10.84203125,21.686,64
